LH;Lufthansa;;402;FRA;Deutschland;FRANKFURT;JFK;USA;NEW YORK;  7:35;27.08.2012;666;A380-800;AIRBUS S.A.S.;23;475;12728;17.01.2012;3;Herr;Hans Tillinger;69119;Heidelberg;Veilchenstraße 12;Deutschland
AZ;Alitalia;;788;FCO;Italien;ROME;TYO;Japan;TOKYO; 12:55;28.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;55;475;5832;11.01.2012;7;Mister;King;M21 7AB;Manchester;Hyde Park 7;Grossbritannien
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;30.08.2012;2.320,04;A380-800;AIRBUS S.A.S.;50;475;4830;04.01.2012;13;Firma;Mueller;68159;Mannheim;;Deutschland
AZ;Alitalia;;788;FCO;Italien;ROME;TYO;Japan;TOKYO; 12:55;28.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;55;475;5825;02.01.2012;15;Herr;Soehnen;1099;Dresden;Veilchenstr. 6;Deutschland
UA;United Airlines;;3504;SFO;USA;SAN FRANCISCO;FRA;Deutschland;FRANKFURT; 10:30;31.08.2012;879,82;A380-800;AIRBUS S.A.S.;36;475;8962;30.12.2011;17;Frau;Ruthenberg;69118;Heidelberg;Hirschheimer Str. 6A;Deutschland
LH;Lufthansa;;400;FRA;Deutschland;FRANKFURT;JFK;USA;NEW YORK;  7:24;01.09.2012;666;A340-600;AIRBUS S.A.S.;41;330;3991;26.12.2011;20;Herr;Becker;69181;Leimen;Wimbledonallee 6;Deutschland
UA;United Airlines;;3504;SFO;USA;SAN FRANCISCO;FRA;Deutschland;FRANKFURT; 10:30;31.08.2012;879,82;A380-800;AIRBUS S.A.S.;36;475;8950;26.12.2011;20;Herr;Becker;69181;Leimen;Wimbledonallee 6;Deutschland
UA;United Airlines;;3504;SFO;USA;SAN FRANCISCO;FRA;Deutschland;FRANKFURT; 10:30;31.08.2012;879,82;A380-800;AIRBUS S.A.S.;36;475;8948;20.12.2011;25;;SAP Australia PTY.LTD.;NSW 2060;Sydney;168 Walker Street;Australien
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10373;19.12.2011;26;;SAP Belgium SA;1150;Brussels;2, Bld. de la Woluwe;Belgien
JL;Japan Airlines;;407;NRT;Japan;TOKYO;FRA;Deutschland;FRANKFURT; 12:05;31.08.2012;1.061,36;A380-800;AIRBUS S.A.S.;40;475;4720;06.12.2011;36;Ms;Maggie Favretti;10583;Scarsdale;14 Oak Lane;USA
UA;United Airlines;;3516;JFK;USA;NEW YORK;FRA;Deutschland;FRANKFURT;  7:25;28.08.2012;611,01;A380-800;AIRBUS S.A.S.;11;475;14517;24.11.2011;46;Firma;AluCast GmbH;22085;Hamburg;Elbstraße 9-11;Deutschland
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;30.08.2012;2.320,04;A380-800;AIRBUS S.A.S.;50;475;4825;04.11.2011;62;Firma;SKF Kugelmeier KGaA;97341;Schweinfurt;Georg-Schiffer-Str. 21;Deutschland
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10368;25.10.2011;70;;Food & Stuff;32323;Manchester;Sweetgumroad;Grossbritannien
AZ;Alitalia;;788;FCO;Italien;ROME;TYO;Japan;TOKYO; 12:55;28.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;55;475;5826;11.10.2011;81;;International Container C;19401;Chicago;Main Street;USA
UA;United Airlines;;3504;SFO;USA;SAN FRANCISCO;FRA;Deutschland;FRANKFURT; 10:30;31.08.2012;879,82;A380-800;AIRBUS S.A.S.;36;475;8941;07.10.2011;84;Firma;Schumacher Beratung;50858;Koeln;Muenchener Str. 1055;Deutschland
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10409;23.09.2011;96;;HTG Komponente GmbH;30132;Hannover;Werner Straße 12;Deutschland
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10415;28.11.2011;156;;Porto Leather Supplier;1234;Porto;Mainstreet 1;Portugal
AZ;Alitalia;;788;FCO;Italien;ROME;TYO;Japan;TOKYO; 12:55;28.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;55;475;5813;17.11.2011;164;Firma;Hellweger;20000;Hamburg;Dammallee 24;Deutschland
DL;Delta Airlines;;1984;SFO;USA;SAN FRANCISCO;JFK;USA;NEW YORK;  5:25;27.08.2012;422,94;A380-800;AIRBUS S.A.S.;48;475;10988;13.11.2011;168;;IBM of Portugal;2700;Lisboa;Estrada do Casal Garcia, 11;Portugal
LH;Lufthansa;;400;FRA;Deutschland;FRANKFURT;JFK;USA;NEW YORK;  7:24;01.09.2012;666;A340-600;AIRBUS S.A.S.;41;330;3978;09.11.2011;171;Firma;Kenneth K. Krediman;12345;Heidelberg;Hinter den Verbindlichkeiten 1;Deutschland
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;30.08.2012;2.320,04;A380-800;AIRBUS S.A.S.;50;475;4837;09.11.2011;171;Firma;Kenneth K. Krediman;12345;Heidelberg;Hinter den Verbindlichkeiten 1;Deutschland
SQ;Singapore Airlines;;15;SFO;USA;SAN FRANCISCO;SIN;Singapur;SINGAPORE; 18:45;29.08.2012;2.320,04;A380-800;AIRBUS S.A.S.;25;475;9445;06.11.2011;174;;Linda Smythe;;Oakbrook;1905 Midwest Club;USA
SQ;Singapore Airlines;;158;SIN;Singapur;SINGAPORE;JKT;Indonesien;JAKARTA;  1:35;28.08.2012;494,79;A320-200;AIRBUS S.A.S.;13;130;10789;25.10.2011;183;;Becker GmbH;68301;Mannheim;Hauptstraße 127;Deutschland
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10411;24.10.2011;184;;Harvey Parts & C0.;72345;Stuttgart;Hauptstr.;Deutschland
QF;Qantas Airways;;5;SIN;Singapur;SINGAPORE;FRA;Deutschland;FRANKFURT; 13:45;31.08.2012;788,64;A340-600;AIRBUS S.A.S.;39;330;3421;20.10.2011;187;;Schmidt & Co. KG;75010;Karlsruhe;Seitenstr. 32;Deutschland
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10416;27.09.2011;205;;Super Markets Inc.;12437;Berlin;Hauptstr.78;Deutschland
UA;United Airlines;;3516;JFK;USA;NEW YORK;FRA;Deutschland;FRANKFURT;  7:25;28.08.2012;611,01;A380-800;AIRBUS S.A.S.;11;475;14516;27.09.2011;205;;Super Markets Inc.;12437;Berlin;Hauptstr.78;Deutschland
JL;Japan Airlines;;407;NRT;Japan;TOKYO;FRA;Deutschland;FRANKFURT; 12:05;31.08.2012;1.061,36;A380-800;AIRBUS S.A.S.;40;475;4709;22.09.2011;209;Firma;Karpov SR.;111111;Moscow;Gorki Park 4;Russische Foed.
SQ;Singapore Airlines;;15;SFO;USA;SAN FRANCISCO;SIN;Singapur;SINGAPORE; 18:45;29.08.2012;2.320,04;A380-800;AIRBUS S.A.S.;25;475;9435;19.09.2011;212;;Werk 1200 Dresden;10069;Dresden;Pilnizerstr. 241;Deutschland
DL;Delta Airlines;;106;JFK;USA;NEW YORK;FRA;Deutschland;FRANKFURT;  7:55;27.08.2012;611,01;A340-600;AIRBUS S.A.S.;21;330;3477;05.09.2011;223;Firma;NSM Marschfelden GmbH;28779;Bremen;Rastenburgerstraße;Deutschland
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10417;12.01.2012;232;;Huntington Equipment;30432;San Francisco;340 State Street;USA
AZ;Alitalia;;789;TYO;Japan;TOKYO;FCO;Italien;ROME; 15:40;29.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;59;475;10400;03.01.2012;240;;The Bikes Shop;93456;Matavan;845 South 7th Street;USA
AZ;Alitalia;;788;FCO;Italien;ROME;TYO;Japan;TOKYO; 12:55;28.08.2012;1.030,00;A380-800;AIRBUS S.A.S.;55;475;5846;12.12.2011;257;Fa;Synergistics Test Custome;10317;Berlin;Hauptstr. 100;Deutschland
LH;Lufthansa;;402;FRA;Deutschland;FRANKFURT;JFK;USA;NEW YORK;  7:35;27.08.2012;666;A380-800;AIRBUS S.A.S.;23;475;12725;06.12.2011;263;;Leading Edge Technologies;90210;Los Angeles;100 Main Street;USA
LH;Lufthansa;;2407;TXL;Deutschland;BERLIN;FRA;Deutschland;FRANKFURT;  1:05;01.09.2012;242;A320-200;AIRBUS S.A.S.;21;130;19861;05.12.2011;263;;Leading Edge Technologies;90210;Los Angeles;100 Main Street;USA
SQ;Singapore Airlines;;158;SIN;Singapur;SINGAPORE;JKT;Indonesien;JAKARTA;  1:35;28.08.2012;494,79;A320-200;AIRBUS S.A.S.;13;130;10791;30.11.2011;267;;IMB International Corpora;19001;Philadelphia;1835 Market Street;USA
UA;United Airlines;;3504;SFO;USA;SAN FRANCISCO;FRA;Deutschland;FRANKFURT; 10:30;31.08.2012;879,82;A380-800;AIRBUS S.A.S.;36;475;8940;11.11.2011;282;;Roberta Energy Ltd;T2P 4K9;Calgary;;Kanada
